,_id,name,category_code,founded_year,total_money_raised,funding_rounds,acquisition,offices,acquisition.price_amount,acquisition.price_currency_code,acquisition.term_code,acquisition.source_url,acquisition.source_description,acquisition.acquired_year,acquisition.acquired_month,acquisition.acquired_day,acquisition.acquiring_company.name,acquisition.acquiring_company.permalink,venue_location,GeoPoint_status
0,52cdef7c4bab8bd675297ea7,Mokitown,web,2011,$0,,,"{'description': None, 'address1': None, 'address2': None, 'zip_code': None, 'city': None, 'state_code': None, 'country_code': 'USA', 'latitude': 37.09024, 'longitude': -95.712891}",,,,,,,,,,,"{'PointCategory': 'business office', 'GeoPoint': {'type': 'Point', 'coordinates': [-95.712891, 37.09024]}}",GeoPoint Found
2,52cdef7c4bab8bd675297f94,PeekYou,search,2012,$1.83M,"{'id': 631, 'round_code': 'angel', 'source_url': 'http://business.maktoob.com/NewsDetails-20070423109438-PeekYou_Emerges_From_Stealth_Mode_With_50_Million_Profiles_in_Beta_Providing_Easy_and_Efficient_People_Search_CapabilitiesRateMyTeachers_com_Founder_Seeks_to_Meet_Growing_Demand_for_Online_People_Sea.', 'source_description': '', 'raised_amount': 1500000, 'raised_currency_code': 'USD', 'funded_year': 2006, 'funded_month': 8, 'funded_day': 1, 'investments': [{'company': {'name': 'Duggal Visual Solutions', 'permalink': 'duggal-visual-solutions'}, 'financial_org': None, 'person': None}]}",,"{'description': None, 'address1': None, 'address2': None, 'zip_code': None, 'city': 'New York', 'state_code': 'NY', 'country_code': 'USA', 'latitude': 40.757929, 'longitude': -73.985506}",,,,,,,,,,,"{'PointCategory': 'business office', 'GeoPoint': {'type': 'Point', 'coordinates': [-73.985506, 40.757929]}}",GeoPoint Found
2,52cdef7c4bab8bd675297f94,PeekYou,search,2012,$1.83M,"{'id': 24725, 'round_code': 'angel', 'source_url': '', 'source_description': '', 'raised_amount': 50000, 'raised_currency_code': 'USD', 'funded_year': 2010, 'funded_month': 7, 'funded_day': 1, 'investments': [{'company': None, 'financial_org': None, 'person': {'first_name': 'Peter', 'last_name': 'Bordes', 'permalink': 'peter-bordes'}}]}",,"{'description': None, 'address1': None, 'address2': None, 'zip_code': None, 'city': 'New York', 'state_code': 'NY', 'country_code': 'USA', 'latitude': 40.757929, 'longitude': -73.985506}",,,,,,,,,,,"{'PointCategory': 'business office', 'GeoPoint': {'type': 'Point', 'coordinates': [-73.985506, 40.757929]}}",GeoPoint Found
2,52cdef7c4bab8bd675297f94,PeekYou,search,2012,$1.83M,"{'id': 24726, 'round_code': 'angel', 'source_url': '', 'source_description': '', 'raised_amount': 100000, 'raised_currency_code': 'USD', 'funded_year': 2011, 'funded_month': 7, 'funded_day': 1, 'investments': [{'company': None, 'financial_org': None, 'person': {'first_name': 'Peter', 'last_name': 'Bordes', 'permalink': 'peter-bordes'}}]}",,"{'description': None, 'address1': None, 'address2': None, 'zip_code': None, 'city': 'New York', 'state_code': 'NY', 'country_code': 'USA', 'latitude': 40.757929, 'longitude': -73.985506}",,,,,,,,,,,"{'PointCategory': 'business office', 'GeoPoint': {'type': 'Point', 'coordinates': [-73.985506, 40.757929]}}",GeoPoint Found
2,52cdef7c4bab8bd675297f94,PeekYou,search,2012,$1.83M,"{'id': 24727, 'round_code': 'angel', 'source_url': '', 'source_description': '', 'raised_amount': 75000, 'raised_currency_code': 'USD', 'funded_year': 2011, 'funded_month': 7, 'funded_day': 1, 'investments': [{'company': None, 'financial_org': None, 'person': {'first_name': 'Joseph', 'last_name': 'Saviano', 'permalink': 'joseph-saviano'}}]}",,"{'description': None, 'address1': None, 'address2': None, 'zip_code': None, 'city': 'New York', 'state_code': 'NY', 'country_code': 'USA', 'latitude': 40.757929, 'longitude': -73.985506}",,,,,,,,,,,"{'PointCategory': 'business office', 'GeoPoint': {'type': 'Point', 'coordinates': [-73.985506, 40.757929]}}",GeoPoint Found
2,52cdef7c4bab8bd675297f94,PeekYou,search,2012,$1.83M,"{'id': 28957, 'round_code': 'seed', 'source_url': '', 'source_description': '', 'raised_amount': 100000, 'raised_currency_code': 'USD', 'funded_year': 2011, 'funded_month': 8, 'funded_day': 1, 'investments': [{'company': {'name': 'TMT Investments', 'permalink': 'tmt-investments'}, 'financial_org': None, 'person': None}]}",,"{'description': None, 'address1': None, 'address2': None, 'zip_code': None, 'city': 'New York', 'state_code': 'NY', 'country_code': 'USA', 'latitude': 40.757929, 'longitude': -73.985506}",,,,,,,,,,,"{'PointCategory': 'business office', 'GeoPoint': {'type': 'Point', 'coordinates': [-73.985506, 40.757929]}}",GeoPoint Found
3,52cdef7c4bab8bd675297f9e,GENWI,mobile,2010,$7.1M,"{'id': 19988, 'round_code': 'seed', 'source_url': '', 'source_description': 'EDGAR', 'raised_amount': 1100000, 'raised_currency_code': 'USD', 'funded_year': 2010, 'funded_month': 9, 'funded_day': 23, 'investments': [{'company': None, 'financial_org': {'name': 'Dougery Ventures', 'permalink': 'dougery-ventures'}, 'person': None}, {'company': None, 'financial_org': {'name': 'Inventus Capital Partners', 'permalink': 'inventus-capital-partners'}, 'person': None}, {'company': None, 'financial_org': {'name': 'Quest Venture Partners', 'permalink': 'quest-venture-partners'}, 'person': None}]}",,"{'description': '', 'address1': '4966 El Camino Real', 'address2': 'Suite 200', 'zip_code': '94022', 'city': 'Los Altos', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 33.8171, 'longitude': -111.9035}",,,,,,,,,,,"{'PointCategory': 'business office', 'GeoPoint': {'type': 'Point', 'coordinates': [-111.9035, 33.8171]}}",GeoPoint Found
3,52cdef7c4bab8bd675297f9e,GENWI,mobile,2010,$7.1M,"{'id': 25867, 'round_code': 'a', 'source_url': 'http://techcrunch.com/2011/10/11/genwi-raises-4m-for-cloud-publishing-platform-for-tablets-smartphones/', 'source_description': 'GENWI Raises $4M For Cloud Publishing Platform For Tablets, Smartphones', 'raised_amount': 4000000, 'raised_currency_code': 'USD', 'funded_year': 2011, 'funded_month': 10, 'funded_day': 11, 'investments': [{'company': None, 'financial_org': {'name': 'Nexus Venture Partners', 'permalink': 'nexus-venture-partners'}, 'person': None}, {'company': None, 'financial_org': {'name': 'Inventus Capital Partners', 'permalink': 'inventus-capital-partners'}, 'person': None}, {'company': None, 'financial_org': {'name': 'Quest Venture Partners', 'permalink': 'quest-venture-partners'}, 'person': None}]}",,"{'description': '', 'address1': '4966 El Camino Real', 'address2': 'Suite 200', 'zip_code': '94022', 'city': 'Los Altos', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 33.8171, 'longitude': -111.9035}",,,,,,,,,,,"{'PointCategory': 'business office', 'GeoPoint': {'type': 'Point', 'coordinates': [-111.9035, 33.8171]}}",GeoPoint Found
3,52cdef7c4bab8bd675297f9e,GENWI,mobile,2010,$7.1M,"{'id': 32667, 'round_code': 'unattributed', 'source_url': 'http://www.finsmes.com/2012/09/genwi-raises-2m.html?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+finsmes%2FcNHu+%28FinSMEs%29', 'source_description': 'GENWI Raises $2M', 'raised_amount': 2000000, 'raised_currency_code': 'USD', 'funded_year': 2012, 'funded_month': 9, 'funded_day': 18, 'investments': [{'company': None, 'financial_org': {'name': 'Elevation Partners', 'permalink': 'elevation-partners'}, 'person': None}, {'company': None, 'financial_org': {'name': 'FLOODGATE', 'permalink': 'floodgate'}, 'person': None}]}",,"{'description': '', 'address1': '4966 El Camino Real', 'address2': 'Suite 200', 'zip_code': '94022', 'city': 'Los Altos', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 33.8171, 'longitude': -111.9035}",,,,,,,,,,,"{'PointCategory': 'business office', 'GeoPoint': {'type': 'Point', 'coordinates': [-111.9035, 33.8171]}}",GeoPoint Found
4,52cdef7c4bab8bd675297fb1,headr,web,2012,$0,,,"{'description': '', 'address1': 'Ritterstr. 12-14', 'address2': '', 'zip_code': '10969', 'city': 'Berlin', 'state_code': None, 'country_code': 'DEU', 'latitude': 52.5013449, 'longitude': 13.4109071}",,,,,,,,,,,"{'PointCategory': 'business office', 'GeoPoint': {'type': 'Point', 'coordinates': [13.4109071, 52.5013449]}}",GeoPoint Found
